variable,unit,test,control,diff
LANDFRAC,fraction,0.292,0.292,0
OCNFRAC,fraction,0.665,0.664,0.001
SST,K,292.112,292.099,0.013
TS,K,287.457,287.351,0.106
SWCF,W/m2,-47.001,-47.473,0.472
LWCF,W/m2,24.268,24.61,-0.342
PRECT,m/s,3.5e-08,3.49e-08,1e-10
TAUX,N/m2,-0.00619,-0.00605,-0.00014
TAUY,N/m2,-0.0021,-0.00189,-0.00021
TGCLDLWP,kg/m2,0.051,0.0515,-0.0005
PSL,Pa,101102.559,101101.229,1.330
TREFHT,K,286.639,286.517,0.122
