variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,48, 1.67e-16, 3.47e-18, 6.8e-18, 0.292 +  0 t, nan
OCNFRAC,fraction,0.665,48, 0.00271, 5.66e-05, 0.000111, 0.669 + -0.000171 t, 6.77e-16
SST,K,292.112,48, 0.207, 0.004, 0.008, 292.381 + -0.011 t, 0.000
TS,K,287.457,48, 0.355, 0.007, 0.015, 287.997 + -0.022 t, 0.000
SWCF,W/m2,-47.001,48, 0.401, 0.008, 0.016,-46.914 + -0.004 t, 0.406
LWCF,W/m2,24.268,48, 0.138, 0.003, 0.006, 24.239 +  0.001 t, 0.414
PRECT,m/s,3.5e-08,48, 3.39e-10, 7.05e-12, 1.38e-11, 3.55e-08 + -1.98e-11 t, 3.19e-12
TAUX,N/m2,-0.00619,48, 0.000849, 1.77e-05, 3.47e-05,-0.00645 +  1.07e-05 t, 0.235
TAUY,N/m2,-0.0021,48, 0.00055, 1.14e-05, 2.24e-05,-0.00219 +  3.99e-06 t, 0.497
TGCLDLWP,kg/m2,0.051,48, 0.000571, 1.19e-05, 2.33e-05, 0.0513 + -1.41e-05 t, 0.0172
PSL,Pa,101102.559,48, 3.742, 0.078, 0.153, 101107.310 + -0.194 t, 0.000
TREFHT,K,286.639,48, 0.358, 0.007, 0.015, 287.182 + -0.022 t, 0.000
